,features,num_rows,num_features
10,"('tube_assembly_id', 'supplier', 'quote_date', 'annual_usage', 'min_order_quantity', 'bracket_pricing', 'quantity', 'material_id', 'diameter', 'wall', 'length', 'num_bends', 'bend_radius', 'end_a_1x', 'end_a_2x', 'end_x_1x', 'end_x_2x', 'end_a', 'end_x', 'num_boss', 'num_bracket', 'other', 'end_a_forming', 'end_x_forming', 'component_id_1', 'quantity_1', 'component_id_2', 'quantity_2', 'name_1', 'component_type_id_1', 'overall_length_threaded_1', 'hex_size_threaded_1', 'thread_size_1_threaded_1', 'thread_pitch_1_threaded_1', 'nominal_size_2_threaded_1', 'unique_feature_threaded_1', 'orientation_threaded_1', 'weight_threaded_1', 'component_type_threaded_1', 'end_form_1_threaded_1', 'end_form_2_threaded_1', 'connection_type_1_threaded_1', 'name_2', 'component_type_id_2', 'overall_length_threaded_2', 'hex_size_threaded_2', 'thread_size_1_threaded_2', 'thread_pitch_1_threaded_2', 'nominal_size_2_threaded_2', 'unique_feature_threaded_2', 'orientation_threaded_2', 'weight_threaded_2', 'component_type_threaded_2', 'end_form_1_threaded_2', 'end_form_2_threaded_2', 'connection_type_1_threaded_2')",373,56
11,"('tube_assembly_id', 'supplier', 'quote_date', 'annual_usage', 'min_order_quantity', 'bracket_pricing', 'quantity', 'material_id', 'diameter', 'wall', 'length', 'num_bends', 'bend_radius', 'end_a_1x', 'end_a_2x', 'end_x_1x', 'end_x_2x', 'end_a', 'end_x', 'num_boss', 'num_bracket', 'other', 'end_a_forming', 'end_x_forming', 'component_id_1', 'quantity_1', 'component_id_2', 'quantity_2', 'component_id_3', 'quantity_3', 'name_1', 'component_type_id_1', 'hex_nut_size_nut_1', 'length_nut_1', 'thread_size_nut_1', 'thread_pitch_nut_1', 'orientation_nut_1', 'weight_nut_1', 'component_type_nut_1', 'name_2', 'component_type_id_2', 'length_sleeve_2', 'intended_nut_thread_sleeve_2', 'intended_nut_pitch_sleeve_2', 'unique_feature_sleeve_2', 'plating_sleeve_2', 'orientation_sleeve_2', 'weight_sleeve_2', 'component_type_sleeve_2', 'connection_type_sleeve_2', 'name_3', 'component_type_id_3', 'overall_length_threaded_3', 'hex_size_threaded_3', 'thread_size_1_threaded_3', 'thread_pitch_1_threaded_3', 'nominal_size_2_threaded_3', 'unique_feature_threaded_3', 'orientation_threaded_3', 'weight_threaded_3', 'component_type_threaded_3', 'end_form_1_threaded_3', 'end_form_2_threaded_3', 'connection_type_1_threaded_3', 'spec1', 'spec2', 'spec3', 'spec4', 'spec5', 'spec6')",365,70
12,"('tube_assembly_id', 'supplier', 'quote_date', 'annual_usage', 'min_order_quantity', 'bracket_pricing', 'quantity', 'material_id', 'diameter', 'wall', 'length', 'num_bends', 'bend_radius', 'end_a_1x', 'end_a_2x', 'end_x_1x', 'end_x_2x', 'end_a', 'end_x', 'num_boss', 'num_bracket', 'other', 'end_a_forming', 'end_x_forming', 'component_id_1', 'quantity_1', 'component_id_2', 'quantity_2', 'component_id_3', 'quantity_3', 'component_id_4', 'quantity_4', 'name_1', 'component_type_id_1', 'hex_nut_size_nut_1', 'length_nut_1', 'thread_size_nut_1', 'thread_pitch_nut_1', 'orientation_nut_1', 'weight_nut_1', 'component_type_nut_1', 'name_2', 'component_type_id_2', 'hex_nut_size_nut_2', 'length_nut_2', 'thread_size_nut_2', 'thread_pitch_nut_2', 'orientation_nut_2', 'weight_nut_2', 'component_type_nut_2', 'name_3', 'component_type_id_3', 'length_sleeve_3', 'intended_nut_thread_sleeve_3', 'intended_nut_pitch_sleeve_3', 'unique_feature_sleeve_3', 'plating_sleeve_3', 'orientation_sleeve_3', 'weight_sleeve_3', 'component_type_sleeve_3', 'connection_type_sleeve_3', 'name_4', 'component_type_id_4', 'length_sleeve_4', 'intended_nut_thread_sleeve_4', 'intended_nut_pitch_sleeve_4', 'unique_feature_sleeve_4', 'plating_sleeve_4', 'orientation_sleeve_4', 'weight_sleeve_4', 'component_type_sleeve_4', 'connection_type_sleeve_4')",323,72
13,"('tube_assembly_id', 'supplier', 'quote_date', 'annual_usage', 'min_order_quantity', 'bracket_pricing', 'quantity', 'material_id', 'diameter', 'wall', 'length', 'num_bends', 'bend_radius', 'end_a_1x', 'end_a_2x', 'end_x_1x', 'end_x_2x', 'end_a', 'end_x', 'num_boss', 'num_bracket', 'other')",310,22
14,"('tube_assembly_id', 'supplier', 'quote_date', 'annual_usage', 'min_order_quantity', 'bracket_pricing', 'quantity', 'material_id', 'diameter', 'wall', 'length', 'num_bends', 'bend_radius', 'end_a_1x', 'end_a_2x', 'end_x_1x', 'end_x_2x', 'end_a', 'end_x', 'num_boss', 'num_bracket', 'other', 'end_a_forming', 'end_x_forming', 'component_id_1', 'quantity_1', 'component_id_2', 'quantity_2', 'name_1', 'component_type_id_1', 'length_sleeve_1', 'intended_nut_thread_sleeve_1', 'intended_nut_pitch_sleeve_1', 'unique_feature_sleeve_1', 'plating_sleeve_1', 'orientation_sleeve_1', 'weight_sleeve_1', 'component_type_sleeve_1', 'connection_type_sleeve_1', 'name_2', 'component_type_id_2', 'hex_nut_size_nut_2', 'seat_angle_nut_2', 'length_nut_2', 'thread_size_nut_2', 'thread_pitch_nut_2', 'orientation_nut_2', 'weight_nut_2', 'component_type_nut_2')",232,49
15,"('tube_assembly_id', 'supplier', 'quote_date', 'annual_usage', 'min_order_quantity', 'bracket_pricing', 'quantity', 'material_id', 'diameter', 'wall', 'length', 'num_bends', 'bend_radius', 'end_a_1x', 'end_a_2x', 'end_x_1x', 'end_x_2x', 'end_a', 'end_x', 'num_boss', 'num_bracket', 'other', 'end_a_forming', 'end_x_forming', 'component_id_1', 'quantity_1', 'component_id_2', 'quantity_2', 'name_1', 'component_type_id_1', 'hex_nut_size_nut_1', 'seat_angle_nut_1', 'length_nut_1', 'thread_size_nut_1', 'thread_pitch_nut_1', 'orientation_nut_1', 'weight_nut_1', 'component_type_nut_1', 'name_2', 'component_type_id_2', 'length_sleeve_2', 'intended_nut_thread_sleeve_2', 'intended_nut_pitch_sleeve_2', 'unique_feature_sleeve_2', 'plating_sleeve_2', 'orientation_sleeve_2', 'weight_sleeve_2', 'component_type_sleeve_2', 'connection_type_sleeve_2', 'spec1', 'spec2')",221,51
16,"('tube_assembly_id', 'supplier', 'quote_date', 'annual_usage', 'min_order_quantity', 'bracket_pricing', 'quantity', 'material_id', 'diameter', 'wall', 'length', 'num_bends', 'bend_radius', 'end_a_1x', 'end_a_2x', 'end_x_1x', 'end_x_2x', 'end_a', 'end_x', 'num_boss', 'num_bracket', 'other', 'end_a_forming', 'end_x_forming', 'component_id_1', 'quantity_1', 'component_id_2', 'quantity_2', 'name_1', 'component_type_id_1', 'hex_nut_size_nut_1', 'length_nut_1', 'thread_size_nut_1', 'thread_pitch_nut_1', 'orientation_nut_1', 'weight_nut_1', 'component_type_nut_1', 'name_2', 'component_type_id_2', 'length_sleeve_2', 'intended_nut_thread_sleeve_2', 'intended_nut_pitch_sleeve_2', 'unique_feature_sleeve_2', 'plating_sleeve_2', 'orientation_sleeve_2', 'weight_sleeve_2', 'component_type_sleeve_2', 'connection_type_sleeve_2', 'spec1', 'spec2', 'spec3', 'spec4')",211,52
17,"('tube_assembly_id', 'supplier', 'quote_date', 'annual_usage', 'min_order_quantity', 'bracket_pricing', 'quantity', 'material_id', 'diameter', 'wall', 'length', 'num_bends', 'bend_radius', 'end_a_1x', 'end_a_2x', 'end_x_1x', 'end_x_2x', 'end_a', 'end_x', 'num_boss', 'num_bracket', 'other', 'end_a_forming', 'end_x_forming', 'component_id_1', 'quantity_1', 'name_1', 'component_type_id_1', 'overall_length_adaptor_1', 'end_form_id_1_adaptor_1', 'connection_type_id_1_adaptor_1', 'thread_size_1_adaptor_1', 'thread_pitch_1_adaptor_1', 'end_form_id_2_adaptor_1', 'connection_type_id_2_adaptor_1', 'hex_size_adaptor_1', 'unique_feature_adaptor_1', 'orientation_adaptor_1', 'weight_adaptor_1', 'component_type_adaptor_1', 'end_form_1_adaptor_1', 'end_form_2_adaptor_1', 'connection_type_1_adaptor_1', 'connection_type_2_adaptor_1', 'spec1', 'spec2', 'spec3', 'spec4', 'spec5')",199,49
18,"('tube_assembly_id', 'supplier', 'quote_date', 'annual_usage', 'min_order_quantity', 'bracket_pricing', 'quantity', 'material_id', 'diameter', 'wall', 'length', 'num_bends', 'bend_radius', 'end_a_1x', 'end_a_2x', 'end_x_1x', 'end_x_2x', 'end_a', 'end_x', 'num_boss', 'num_bracket', 'other', 'end_a_forming', 'end_x_forming', 'component_id_1', 'quantity_1', 'component_id_2', 'quantity_2', 'component_id_3', 'quantity_3', 'name_1', 'component_type_id_1', 'hex_nut_size_nut_1', 'length_nut_1', 'thread_size_nut_1', 'thread_pitch_nut_1', 'orientation_nut_1', 'weight_nut_1', 'component_type_nut_1', 'name_2', 'component_type_id_2', 'length_sleeve_2', 'intended_nut_thread_sleeve_2', 'intended_nut_pitch_sleeve_2', 'unique_feature_sleeve_2', 'plating_sleeve_2', 'orientation_sleeve_2', 'weight_sleeve_2', 'component_type_sleeve_2', 'connection_type_sleeve_2', 'name_3', 'component_type_id_3', 'adaptor_angle_threaded_3', 'length_1_threaded_3', 'thread_size_1_threaded_3', 'thread_pitch_1_threaded_3', 'length_2_threaded_3', 'nominal_size_2_threaded_3', 'unique_feature_threaded_3', 'orientation_threaded_3', 'weight_threaded_3', 'component_type_threaded_3', 'end_form_1_threaded_3', 'end_form_2_threaded_3', 'connection_type_1_threaded_3')",171,65
19,"('tube_assembly_id', 'supplier', 'quote_date', 'annual_usage', 'min_order_quantity', 'bracket_pricing', 'quantity', 'material_id', 'diameter', 'wall', 'length', 'num_bends', 'bend_radius', 'end_a_1x', 'end_a_2x', 'end_x_1x', 'end_x_2x', 'end_a', 'end_x', 'num_boss', 'num_bracket', 'other', 'end_a_forming', 'end_x_forming', 'component_id_1', 'quantity_1', 'component_id_2', 'quantity_2', 'name_1', 'component_type_id_1', 'length_sleeve_1', 'intended_nut_thread_sleeve_1', 'intended_nut_pitch_sleeve_1', 'unique_feature_sleeve_1', 'plating_sleeve_1', 'orientation_sleeve_1', 'weight_sleeve_1', 'component_type_sleeve_1', 'connection_type_sleeve_1', 'name_2', 'component_type_id_2', 'hex_nut_size_nut_2', 'seat_angle_nut_2', 'length_nut_2', 'thread_size_nut_2', 'thread_pitch_nut_2', 'orientation_nut_2', 'weight_nut_2', 'component_type_nut_2', 'spec1', 'spec2', 'spec3')",166,52
20,"('tube_assembly_id', 'supplier', 'quote_date', 'annual_usage', 'min_order_quantity', 'bracket_pricing', 'quantity', 'material_id', 'diameter', 'wall', 'length', 'num_bends', 'bend_radius', 'end_a_1x', 'end_a_2x', 'end_x_1x', 'end_x_2x', 'end_a', 'end_x', 'num_boss', 'num_bracket', 'other', 'end_a_forming', 'end_x_forming', 'component_id_1', 'quantity_1', 'name_1', 'component_type_id_1', 'part_name_other_1', 'weight_other_1')",163,30
21,"('tube_assembly_id', 'supplier', 'quote_date', 'annual_usage', 'min_order_quantity', 'bracket_pricing', 'quantity', 'material_id', 'diameter', 'wall', 'length', 'num_bends', 'bend_radius', 'end_a_1x', 'end_a_2x', 'end_x_1x', 'end_x_2x', 'end_a', 'end_x', 'num_boss', 'num_bracket', 'other', 'end_a_forming', 'end_x_forming', 'component_id_1', 'quantity_1', 'component_id_2', 'quantity_2', 'name_1', 'component_type_id_1', 'hex_nut_size_nut_1', 'seat_angle_nut_1', 'length_nut_1', 'thread_size_nut_1', 'thread_pitch_nut_1', 'orientation_nut_1', 'weight_nut_1', 'component_type_nut_1', 'name_2', 'component_type_id_2', 'length_sleeve_2', 'intended_nut_thread_sleeve_2', 'intended_nut_pitch_sleeve_2', 'unique_feature_sleeve_2', 'plating_sleeve_2', 'orientation_sleeve_2', 'weight_sleeve_2', 'component_type_sleeve_2', 'connection_type_sleeve_2', 'spec1', 'spec2', 'spec3', 'spec4')",149,53
22,"('tube_assembly_id', 'supplier', 'quote_date', 'annual_usage', 'min_order_quantity', 'bracket_pricing', 'quantity', 'material_id', 'diameter', 'wall', 'length', 'num_bends', 'bend_radius', 'end_a_1x', 'end_a_2x', 'end_x_1x', 'end_x_2x', 'end_a', 'end_x', 'num_boss', 'num_bracket', 'other', 'end_a_forming', 'end_x_forming', 'spec1', 'spec2')",145,26
23,"('tube_assembly_id', 'supplier', 'quote_date', 'annual_usage', 'min_order_quantity', 'bracket_pricing', 'quantity', 'material_id', 'diameter', 'wall', 'length', 'num_bends', 'bend_radius', 'end_a_1x', 'end_a_2x', 'end_x_1x', 'end_x_2x', 'end_a', 'end_x', 'num_boss', 'num_bracket', 'other', 'end_a_forming', 'end_x_forming', 'component_id_1', 'quantity_1', 'component_id_2', 'quantity_2', 'name_1', 'component_type_id_1', 'length_sleeve_1', 'intended_nut_thread_sleeve_1', 'intended_nut_pitch_sleeve_1', 'unique_feature_sleeve_1', 'plating_sleeve_1', 'orientation_sleeve_1', 'weight_sleeve_1', 'component_type_sleeve_1', 'connection_type_sleeve_1', 'name_2', 'component_type_id_2', 'hex_nut_size_nut_2', 'length_nut_2', 'thread_size_nut_2', 'thread_pitch_nut_2', 'orientation_nut_2', 'weight_nut_2', 'component_type_nut_2')",139,48
24,"('tube_assembly_id', 'supplier', 'quote_date', 'annual_usage', 'min_order_quantity', 'bracket_pricing', 'quantity', 'material_id', 'diameter', 'wall', 'length', 'num_bends', 'bend_radius', 'end_a_1x', 'end_a_2x', 'end_x_1x', 'end_x_2x', 'end_a', 'end_x', 'num_boss', 'num_bracket', 'other', 'end_a_forming', 'end_x_forming', 'component_id_1', 'quantity_1', 'component_id_2', 'quantity_2', 'name_1', 'component_type_id_1', 'hex_nut_size_nut_1', 'length_nut_1', 'thread_size_nut_1', 'thread_pitch_nut_1', 'orientation_nut_1', 'weight_nut_1', 'component_type_nut_1', 'name_2', 'component_type_id_2', 'length_sleeve_2', 'intended_nut_thread_sleeve_2', 'intended_nut_pitch_sleeve_2', 'unique_feature_sleeve_2', 'plating_sleeve_2', 'orientation_sleeve_2', 'weight_sleeve_2', 'component_type_sleeve_2', 'connection_type_sleeve_2', 'spec1', 'spec2', 'spec3', 'spec4', 'spec5', 'spec6', 'spec7')",124,55
25,"('tube_assembly_id', 'supplier', 'quote_date', 'annual_usage', 'min_order_quantity', 'bracket_pricing', 'quantity', 'material_id', 'diameter', 'wall', 'length', 'num_bends', 'bend_radius', 'end_a_1x', 'end_a_2x', 'end_x_1x', 'end_x_2x', 'end_a', 'end_x', 'num_boss', 'num_bracket', 'other', 'end_a_forming', 'end_x_forming', 'spec1', 'spec2', 'spec3')",107,27
26,"('tube_assembly_id', 'supplier', 'quote_date', 'annual_usage', 'min_order_quantity', 'bracket_pricing', 'quantity', 'material_id', 'diameter', 'wall', 'length', 'num_bends', 'bend_radius', 'end_a_1x', 'end_a_2x', 'end_x_1x', 'end_x_2x', 'end_a', 'end_x', 'num_boss', 'num_bracket', 'other', 'end_a_forming', 'end_x_forming', 'component_id_1', 'quantity_1', 'component_id_2', 'quantity_2', 'name_1', 'component_type_id_1', 'part_name_other_1', 'weight_other_1', 'name_2', 'component_type_id_2', 'part_name_other_2', 'weight_other_2')",103,36
27,"('tube_assembly_id', 'supplier', 'quote_date', 'annual_usage', 'min_order_quantity', 'bracket_pricing', 'quantity', 'material_id', 'diameter', 'wall', 'length', 'num_bends', 'bend_radius', 'end_a_1x', 'end_a_2x', 'end_x_1x', 'end_x_2x', 'end_a', 'end_x', 'num_boss', 'num_bracket', 'other', 'end_a_forming', 'end_x_forming', 'component_id_1', 'quantity_1', 'name_1', 'component_type_id_1', 'overall_length_adaptor_1', 'end_form_id_1_adaptor_1', 'connection_type_id_1_adaptor_1', 'nominal_size_1_adaptor_1', 'end_form_id_2_adaptor_1', 'connection_type_id_2_adaptor_1', 'thread_size_2_adaptor_1', 'thread_pitch_2_adaptor_1', 'hex_size_adaptor_1', 'unique_feature_adaptor_1', 'orientation_adaptor_1', 'weight_adaptor_1', 'component_type_adaptor_1', 'end_form_1_adaptor_1', 'end_form_2_adaptor_1', 'connection_type_1_adaptor_1', 'connection_type_2_adaptor_1', 'spec1', 'spec2', 'spec3', 'spec4')",95,49
28,"('tube_assembly_id', 'supplier', 'quote_date', 'annual_usage', 'min_order_quantity', 'bracket_pricing', 'quantity', 'material_id', 'diameter', 'wall', 'length', 'num_bends', 'bend_radius', 'end_a_1x', 'end_a_2x', 'end_x_1x', 'end_x_2x', 'end_a', 'end_x', 'num_boss', 'num_bracket', 'other', 'end_a_forming', 'end_x_forming', 'component_id_1', 'quantity_1', 'component_id_2', 'quantity_2', 'name_1', 'component_type_id_1', 'hex_nut_size_nut_1', 'length_nut_1', 'thread_size_nut_1', 'thread_pitch_nut_1', 'orientation_nut_1', 'weight_nut_1', 'component_type_nut_1', 'name_2', 'component_type_id_2', 'length_sleeve_2', 'intended_nut_thread_sleeve_2', 'intended_nut_pitch_sleeve_2', 'unique_feature_sleeve_2', 'plating_sleeve_2', 'orientation_sleeve_2', 'weight_sleeve_2', 'component_type_sleeve_2', 'connection_type_sleeve_2', 'spec1', 'spec2', 'spec3')",94,51
29,"('tube_assembly_id', 'supplier', 'quote_date', 'annual_usage', 'min_order_quantity', 'bracket_pricing', 'quantity', 'material_id', 'diameter', 'wall', 'length', 'num_bends', 'bend_radius', 'end_a_1x', 'end_a_2x', 'end_x_1x', 'end_x_2x', 'end_a', 'end_x', 'num_boss', 'num_bracket', 'other', 'end_a_forming', 'end_x_forming', 'component_id_1', 'quantity_1', 'component_id_2', 'quantity_2', 'name_1', 'component_type_id_1', 'hex_nut_size_nut_1', 'length_nut_1', 'thread_size_nut_1', 'thread_pitch_nut_1', 'orientation_nut_1', 'weight_nut_1', 'component_type_nut_1', 'name_2', 'component_type_id_2', 'length_sleeve_2', 'intended_nut_thread_sleeve_2', 'intended_nut_pitch_sleeve_2', 'unique_feature_sleeve_2', 'plating_sleeve_2', 'orientation_sleeve_2', 'weight_sleeve_2', 'component_type_sleeve_2', 'connection_type_sleeve_2', 'spec1', 'spec2', 'spec3', 'spec4', 'spec5')",89,53
